Table_Number,Year,Measure,Age,Sex,Indigenous_Status,Year_Dollars,Description1,Description2,Description3,Description4,Description5,Description6,Description7,Uncertainty,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust
6A.3,2017-18,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Total rarely or more often,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),1.7,1,1.2,2.6,1.9,1.8,1.4,1.9,0.7
6A.3,2017-18,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Don't know,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0,0,0.1,0,0.1,0.1,0,0.1,0.1
6A.3,2017-18,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Don't know,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),0.1,0,0.1,0,0.1,0.1,0,0.1,0
6A.3,2017-18,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Refused,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0,0,0,0,0,0,0,0,0
6A.3,2017-18,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1729,7457,5531,2611,2336,1790,2242,1861,25557
6A.3,2017-18,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1.09,1.09,1.08,1.13,1.11,1.1,1.1,1.13,1.09
6A.3,2017-18,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Never,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,36.3,44,37.7,38.4,48,39.4,32.4,34.8,39.6
6A.3,2017-18,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Never,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),3.4,2,2.2,3.1,3.5,4,3,3.4,1.4
6A.3,2017-18,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Total rarely or more often,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,62.7,55.8,62.1,61.2,51.8,60.4,67.3,64.9,60
6A.3,2017-18,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Total rarely or more often,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),3.5,2,2.2,3.1,3.5,4,3,3.4,1.4
6A.3,2017-18,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Don't know,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0.1,0.2,0.1,0.3,0.2,0.1,0.1,0.2,0.2
6A.3,2017-18,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Don't know,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),0.1,0.1,0.1,0.4,0.2,0.1,0.1,0.1,0.1
6A.3,2017-18,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Refused,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0.8,0.1,0.1,0.1,0,0,0.1,0.1,0.3
6A.3,2017-18,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1729,7457,5531,2611,2336,1790,2242,1861,25557
6A.3,2017-18,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1.86,1.75,1.86,1.82,1.67,1.81,1.95,1.98,1.82
6A.3,2016-17,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Never,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,97.9,94.9,95.8,96.4,94.3,94,96.4,92.4,96.1
6A.3,2016-17,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Never,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),0.9,1.1,0.9,1.1,1.8,1.9,1.5,2.6,0.5
6A.3,2016-17,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Total rarely or more often,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,2,5,4,3.5,5.6,6,3.4,7.6,3.7
6A.3,2016-17,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Total rarely or more often,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),0.8,1.1,0.8,1,1.8,1.9,1.5,2.6,0.5
6A.3,2016-17,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Don't know,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0.1,0.1,0.2,0,0.1,0,0.1,0,0.1
6A.3,2016-17,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Don't know,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),0.1,0.1,0.2,0,0.1,0.1,0.1,0,0.1
6A.3,2016-17,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Refused,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0,0,0,0.1,0,0,0,0,0
6A.3,2016-17,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1675,7264,5400,2583,2276,1762,2177,1868,25005
6A.3,2016-17,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1.03,1.08,1.05,1.06,1.09,1.08,1.05,1.11,1.06
6A.3,2016-17,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Never,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,93.9,93.1,92.3,87.9,90.9,91.6,91.9,88.3,92.4
6A.3,2016-17,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Never,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),1.8,1.2,2.3,3.2,2.3,2.1,1.9,2.7,0.9
6A.3,2016-17,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Total rarely or more often,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,6.1,6.7,7.7,12,9,8.4,8.1,11.4,7.5
6A.3,2016-17,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Total rarely or more often,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),1.8,1.2,2.3,3.2,2.3,2.1,1.9,2.6,0.9
6A.3,2016-17,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Don't know,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0,0.1,0,0,0,0,0,0,0
6A.3,2016-17,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Don't know,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),0,0.1,0,0,0,0,0,0,0
6A.3,2016-17,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Refused,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0,0.1,0,0.1,0,0,0,0.3,0
6A.3,2016-17,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1675,7264,5400,2583,2276,1762,2177,1868,25005
6A.3,2016-17,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1.07,1.07,1.09,1.14,1.1,1.1,1.09,1.13,1.09
6A.3,2016-17,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Never,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,38.3,48.5,39.1,36.1,52.4,41.1,36.3,34.1,41.8
6A.3,2016-17,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Never,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),5,2.7,2.6,4.3,4.9,4.4,4,4.6,1.9
6A.3,2016-17,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Total rarely or more often,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,61.5,51.2,60.4,63.7,46.2,58.6,63.6,65.8,57.8
6A.3,2016-17,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Total rarely or more often,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),5,2.7,2.6,4.3,4.9,4.4,4,4.6,1.9
6A.3,2016-17,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Don't know,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0.2,0.2,0.2,0.1,1.3,0.2,0.1,0,0.3
6A.3,2016-17,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Don't know,,,,95%CI,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,% (±),0.2,0.2,0.1,0.1,2.1,0.2,0.1,0,0.2
6A.3,2016-17,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Refused,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0,0.1,0.3,0.1,0,0.1,0.1,0.1,0.1
6A.3,2016-17,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1675,7264,5400,2583,2276,1762,2177,1868,25005
6A.3,2016-17,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,10 kilometres per hour or more above the speed limit,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1.84,1.68,1.85,1.89,1.6,1.8,1.89,1.91,1.79
6A.3,2015-16,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Never,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,96.8,94.9,94.2,96.5,93.9,91.8,96.1,89.2,95.3
6A.3,2015-16,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Total rarely or more often,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,3.2,4.9,5.6,3.6,6,8.2,3.7,10,4.5
6A.3,2015-16,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Don't know,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0,0,0,0,0,0.1,0,0.8,0
6A.3,2015-16,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Refused,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,0,0.1,0.1,0,0,0,0,0,0.1
6A.3,2015-16,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Sample size,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1705,7271,5424,2553,2288,1787,2178,1858,25064
6A.3,2015-16,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,Without wearing a seat belt,Index,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,no.,1.04,1.08,1.08,1.05,1.11,1.13,1.07,1.15,1.07
6A.3,2015-16,Road safety,All ages,All people,All people,,Road safety,People who had driven in the previous six months,When possibly over the alcohol limit,Never,,,,,ANZPAA (unpublished) National Survey of Community Satisfaction with Policing,%,93.8,93.5,93.3,89.3,91.4,91.1,92.7,87.6,92.8
